adopt,qsale,gprod
Non-adopter,40,445.45758056640625
Non-adopter,100,220.5395050048828
Non-adopter,100,106.65017700195312
Adopter,74,92.42183685302734
Non-adopter,0,472.706787109375
Non-adopter,0,149.98561096191406
Adopter,80,436.5089416503906
Non-adopter,0,622.51727294921875
Non-adopter,0,170.7427215576172
Adopter,200,319.2639465332031
Non-adopter,0,2202.77294921875
Non-adopter,0,3832.457763671875
Non-adopter,0,442.7963562011719
Adopter,0,416.1513671875
Non-adopter,0,350.357177734375
Non-adopter,0,115.13775634765625
Non-adopter,0,109.52619934082031
Non-adopter,0,156.24029541015625
Adopter,200,706.591796875
Non-adopter,0,323.7897033691406
Non-adopter,0,441.747802734375
Adopter,0,530.88055419921875
Non-adopter,0,274.0205078125
Non-adopter,0,52.285072326660156
Non-adopter,74,159.90029907226562
Non-adopter,0,641.24871826171875
Non-adopter,0,429.0570983886719
Non-adopter,80,371.2685241699219
Non-adopter,0,328.7272644042969
Non-adopter,0,881.87078857421875
Non-adopter,0,550.8414306640625
Non-adopter,370,254.00022888183594
Non-adopter,370,275.33349609375
Non-adopter,0,698.10980224609375
Non-adopter,0,953.7705078125
Adopter,0,841.86932373046875
Non-adopter,370,545.10748291015625
Adopter,0,282.10418701171875
Adopter,0,937.09124755859375
Non-adopter,0,1577.371826171875
Adopter,0,171.6417999267578
Adopter,0,148.15292358398438
Non-adopter,0,280.3359069824219
Non-adopter,0,279.6239013671875
Adopter,0,1224.61474609375
Non-adopter,0,931.85272216796875
Non-adopter,555,775.03985595703125
Non-adopter,555,163.39080810546875
Non-adopter,814,696.56005859375
Non-adopter,1665,2256.956787109375
Non-adopter,1665,1737.9461669921875
Non-adopter,592,632.12249755859375
Non-adopter,185,210.72422790527344
Non-adopter,185,157.84912109375
Non-adopter,0,112.6153564453125
Non-adopter,1443,708.04144287109375
Non-adopter,1443,945.5517578125
Non-adopter,0,272.1521911621094
Adopter,703,2325.132080078125
Non-adopter,703,1715.4559326171875
Non-adopter,2405,1409.00537109375
Adopter,777,569.310546875
Non-adopter,777,1615.49658203125
Non-adopter,185,898.75469970703125
Adopter,1110,1055.1458740234375
Non-adopter,1110,1869.62744140625
Non-adopter,259,420.5480651855469
Adopter,370,1490.3408203125
Non-adopter,370,662.33990478515625
Non-adopter,222,1146.3431396484375
Adopter,666,1139.7841796875
Non-adopter,666,707.114501953125
Non-adopter,777,1094.912109375
Adopter,1369,652.1083984375
Non-adopter,1369,1959.71240234375
Non-adopter,1110,2890.013916015625
Adopter,703,1952.0753173828125
Non-adopter,703,1236.6300048828125
Non-adopter,703,1100.719970703125
Adopter,555,1147.1630859375
Adopter,555,396.7769775390625
Non-adopter,925,302.0313720703125
Non-adopter,2553,4539.1103515625
Non-adopter,1480,4562.26708984375
Non-adopter,2035,1913.16552734375
Non-adopter,444,1262.802001953125
Adopter,1369,3431.79931640625
Non-adopter,1369,1859.638671875
Non-adopter,740,955.1544189453125
Adopter,1036,2868.124755859375
Non-adopter,1036,2487.26806640625
Non-adopter,518,1159.3126220703125
Adopter,333,345.0761413574219
Non-adopter,333,575.7716064453125
Non-adopter,370,437.8691711425781
Non-adopter,148,33.667083740234375
Non-adopter,148,287.39996337890625
Non-adopter,444,473.73114013671875
Non-adopter,407,568.2894287109375
Non-adopter,407,1136.5750732421875
Non-adopter,370,1257.2501220703125
Non-adopter,592,546.16802978515625
Non-adopter,592,700.82867431640625
Non-adopter,518,1541.44091796875
Non-adopter,370,828.09503173828125
Non-adopter,370,101.73955535888672
Non-adopter,259,369.1217346191406
Non-adopter,888,671.1356201171875
Non-adopter,888,1026.154052734375
Non-adopter,74,236.5423126220703
Non-adopter,407,1446.550048828125
Non-adopter,407,1597.5533447265625
Non-adopter,407,1233.9228515625
Non-adopter,185,258.2126770019531
Non-adopter,185,124.9575424194336
Non-adopter,185,657.93389892578125
Adopter,333,178.5341033935547
Non-adopter,333,245.2864227294922
Non-adopter,407,340.8897399902344
Non-adopter,444,1111.932373046875
Non-adopter,444,1749.1900634765625
Non-adopter,407,1028.2674560546875
Non-adopter,222,780.05389404296875
Non-adopter,222,240.8136444091797
Non-adopter,148,371.01654052734375
Non-adopter,370,1409.7366943359375
Non-adopter,370,250.87782287597656
Non-adopter,222,249.04495239257812
Non-adopter,185,862.16796875
Non-adopter,185,111.3395004272461
Non-adopter,222,94.85400390625
Non-adopter,222,268.8454284667969
Non-adopter,222,456.6810607910156
Non-adopter,888,2220.86474609375
Non-adopter,925,1250.864990234375
Non-adopter,925,411.3641052246094
Non-adopter,370,231.60423278808594
Non-adopter,74,385.9948425292969
Non-adopter,74,385.3540344238281
Non-adopter,148,211.4202423095703
Non-adopter,333,1540.9873046875
Non-adopter,333,784.534912109375
Non-adopter,370,352.3689270019531
Non-adopter,74,515.0152587890625
Non-adopter,74,244.93069458007812
Non-adopter,111,341.8878173828125
Non-adopter,296,550.61566162109375
Non-adopter,296,492.848388671875
Non-adopter,370,130.20240783691406
Non-adopter,999,1367.1741943359375
Non-adopter,999,1142.4722900390625
Non-adopter,2775,238.57586669921875
Non-adopter,2775,40.2534065246582
Non-adopter,1295,1455.89453125
Non-adopter,1480,1212.8853759765625
Non-adopter,1480,1921.59033203125
Non-adopter,333,3529.652587890625
Non-adopter,1998,4150.33544921875
Non-adopter,2886,3765.057861328125
Adopter,1665,2713.84326171875
Non-adopter,1665,1285.997314453125
Non-adopter,999,2519.09619140625
Non-adopter,666,1428.14404296875
Non-adopter,666,380.65350341796875
Non-adopter,333,320.2191162109375
Non-adopter,2331,3897.463134765625
Non-adopter,1591,4433.1083984375
Non-adopter,333,137.7435302734375
Non-adopter,629,766.9630126953125
Non-adopter,629,254.56117248535156
Non-adopter,333,440.5292663574219
Non-adopter,925,3269.81005859375
Non-adopter,925,2396.5673828125
Non-adopter,1480,752.933349609375
Non-adopter,962,2494.887451171875
Adopter,962,3853.16943359375
Non-adopter,518,2164.390625
Non-adopter,518,518.87298583984375
Non-adopter,518,775.9285888671875
Non-adopter,259,1032.5491943359375
Non-adopter,148,264.2547302246094
Non-adopter,148,553.3232421875
Non-adopter,333,294.1487731933594
Non-adopter,1480,1266.2252197265625
Non-adopter,1480,1781.82080078125
Non-adopter,666,2170.753173828125
Non-adopter,555,1007.8222045898438
Non-adopter,555,1138.013427734375
Non-adopter,111,216.81887817382812
Non-adopter,703,396.5642395019531
Non-adopter,703,1542.8050537109375
Non-adopter,370,113.61473846435547
Non-adopter,555,1018.4336547851562
Non-adopter,555,205.3408203125
Non-adopter,448,325.3297119140625
Non-adopter,259,772.3768310546875
Non-adopter,259,889.63629150390625
Non-adopter,148,146.18223571777344
Non-adopter,333,335.72332763671875
Non-adopter,333,719.71826171875
Non-adopter,148,280.93505859375
Non-adopter,481,681.38177490234375
Non-adopter,481,402.2964782714844
Non-adopter,185,722.197265625
Non-adopter,629,436.4060974121094
Non-adopter,629,404.90106201171875
Non-adopter,666,2698.5673828125
Non-adopter,444,1415.70263671875
Non-adopter,444,963.61480712890625
Non-adopter,1258,1670.5950927734375
Non-adopter,296,111.4540786743164
Non-adopter,296,692.78857421875
Non-adopter,444,481.37786865234375
Non-adopter,296,594.1622314453125
Non-adopter,296,564.445068359375
Non-adopter,666,1074.7108154296875
Non-adopter,1628,1346.5093994140625
Non-adopter,407,995.90155029296875
Non-adopter,555,563.21258544921875
Non-adopter,555,697.56591796875
Non-adopter,1036,2338.690673828125
Non-adopter,1036,1607.878173828125
Non-adopter,962,1273.1309814453125
Non-adopter,259,470.3263244628906
Non-adopter,259,820.81280517578125
Non-adopter,1184,1991.1373291015625
Non-adopter,407,564.8341064453125
Non-adopter,407,109.09258270263672
Non-adopter,259,723.8984375
Non-adopter,296,2098.03173828125
Non-adopter,296,1006.3673706054688
Non-adopter,407,831.24481201171875
Non-adopter,333,269.97918701171875
Non-adopter,333,209.4974365234375
Non-adopter,185,593.05950927734375
Non-adopter,481,963.04119873046875
Non-adopter,481,873.33251953125
Non-adopter,592,605.9622802734375
Non-adopter,703,983.80157470703125
Non-adopter,703,1808.702392578125
Non-adopter,703,1880.8284912109375
Non-adopter,1480,3250.841552734375
Non-adopter,1480,1727.9376220703125
Non-adopter,407,180.3784637451172
Adopter,1628,2651.070068359375
Non-adopter,1628,3606.77392578125
Non-adopter,481,2042.5947265625
Non-adopter,888,1278.6826171875
Non-adopter,888,349.16204833984375
Non-adopter,518,1265.4017333984375
Non-adopter,1184,846.11724853515625
Non-adopter,1184,1337.356201171875
Non-adopter,925,782.3575439453125
Non-adopter,740,463.6844177246094
Non-adopter,740,973.39874267578125
Non-adopter,555,1187.008056640625
Non-adopter,444,579.44989013671875
Non-adopter,444,1536.7811279296875
Non-adopter,592,1405.984130859375
Adopter,1110,1233.025390625
Non-adopter,1110,1159.878173828125
Non-adopter,185,1809.0792236328125
Non-adopter,555,297.0914001464844
Non-adopter,555,537.97271728515625
Non-adopter,666,2820.781494140625
Adopter,1110,553.7042236328125
Non-adopter,1110,2288.09814453125
Non-adopter,666,1982.1693115234375
Adopter,1591,2396.871337890625
Adopter,1591,1479.824462890625
Adopter,296,598.26385498046875
Non-adopter,481,889.082275390625
Non-adopter,481,1007.9444580078125
Non-adopter,666,2958.41455078125
Adopter,407,899.54962158203125
Non-adopter,407,941.44537353515625
Non-adopter,444,525.977294921875
Non-adopter,1739,321.2683410644531
Non-adopter,1739,1471.4122314453125
Non-adopter,222,1631.14111328125
Non-adopter,925,2263.61669921875
